bill_avg,service_failure_count,download_avg,upload_avg,download_over_limit,churn,contract_type,subscription_age_group,subscription_label
25,0,8.4,2.3,0,0,2,3,1
0,0,0.0,0.0,0,1,0,3,0
16,0,13.7,0.9,0,1,1,3,1
21,1,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
32,0,69.4,4.0,0,0,2,3,3
18,0,21.3,2.0,0,1,1,3,0
14,1,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
17,0,9.9,1.1,0,1,1,3,3
10,0,10.6,0.6,0,0,2,3,3
10,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
23,0,0.0,0.0,0,1,2,3,0
18,0,1.0,0.0,0,0,2,3,3
22,1,10.6,2.4,0,0,2,3,1
40,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
65,0,116.8,12.1,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
24,0,9.3,0.7,0,0,0,3,1
0,0,0.0,0.0,0,1,0,3,0
41,0,24.1,3.2,0,0,0,3,0
20,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
63,0,38.1,7.9,0,1,1,3,1
9,0,0.0,0.0,0,1,0,3,0
80,0,235.0,6.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
54,0,0.0,0.0,0,1,0,3,0
33,0,11.4,1.6,0,1,0,3,0
129,0,125.8,9.2,0,1,0,3,0
18,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
45,0,70.3,9.7,0,0,2,3,1
0,0,0.0,0.0,0,1,0,3,0
21,0,0.0,0.0,0,1,0,3,1
14,2,0.0,0.0,0,1,0,3,0
79,2,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
16,0,19.4,1.9,0,0,2,3,3
13,0,0.0,0.0,0,1,0,3,0
17,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
10,0,0.0,0.0,0,1,0,3,0
22,0,10.2,7.4,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
23,0,17.5,5.9,0,0,2,3,3
33,0,40.9,2.0,0,0,0,3,1
10,0,0.0,0.0,0,1,0,3,0
20,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
16,0,28.3,2.1,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
17,0,0.0,0.0,0,1,2,3,1
13,0,0.0,0.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
39,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
20,1,62.6,5.2,0,0,2,3,3
37,0,26.5,2.2,0,0,2,3,1
10,0,10.1,0.3,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
21,0,48.2,2.9,0,0,2,3,3
24,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
56,6,117.3,15.1,0,0,0,3,0
20,0,0.0,0.0,0,1,0,3,1
12,0,0.0,0.0,0,1,0,3,0
14,4,11.5,2.0,0,1,1,3,3
17,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
69,1,584.6,21.3,0,0,2,3,0
33,2,54.7,3.1,0,0,0,3,0
40,0,446.2,8.9,0,0,2,3,3
24,0,0.0,0.0,0,1,0,3,3
24,0,2.9,0.3,0,0,0,3,1
46,0,10.8,0.9,0,1,1,3,3
50,1,95.1,7.0,0,1,1,3,0
15,0,0.0,0.0,0,1,0,3,1
10,0,26.7,2.6,0,0,2,3,3
14,1,10.2,0.8,0,1,0,3,0
53,0,0.0,0.0,0,1,0,3,0
15,0,2.8,0.2,0,0,2,3,3
40,0,161.6,17.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
30,0,168.6,15.6,0,0,2,3,1
24,1,12.2,1.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,3
56,0,1140.3,65.4,0,0,0,3,0
14,0,0.0,0.0,0,1,0,3,3
21,0,13.7,1.7,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
22,2,0.0,0.0,0,1,0,3,0
11,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
20,1,2.0,0.2,0,1,0,3,0
8,0,0.0,0.0,0,1,0,3,0
25,10,77.5,4.8,0,1,0,3,1
22,5,96.1,5.7,0,1,0,3,1
22,0,5.0,0.4,0,1,1,3,1
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
0,3,0.0,0.0,3,1,0,3,0
7,0,0.0,0.0,0,1,0,3,0
59,0,78.2,36.4,0,0,2,3,3
12,0,0.0,0.0,0,1,0,3,1
20,0,0.0,0.0,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
25,0,24.6,3.5,0,0,2,3,1
0,0,0.0,0.0,0,1,0,3,0
15,0,7.1,0.9,0,0,2,3,3
29,0,18.5,4.0,0,1,0,3,1
16,0,0.0,0.0,0,1,0,3,0
21,0,111.9,6.6,0,0,2,3,3
37,2,10.1,1.6,0,1,0,3,3
13,0,0.0,0.0,0,1,0,3,0
24,0,10.0,0.7,0,0,0,3,1
34,2,265.7,18.4,0,0,2,3,3
24,0,0.7,0.1,0,0,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
24,0,0.0,0.0,0,1,0,3,3
24,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
17,0,14.1,1.0,0,0,2,3,3
14,0,29.0,2.0,0,1,0,3,1
21,0,107.3,2.7,0,0,2,3,1
13,0,0.0,0.0,0,1,0,3,0
24,0,11.4,1.6,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
12,0,0.0,0.0,3,1,0,3,1
15,0,5.2,0.2,0,0,2,3,3
18,0,0.0,0.0,0,1,0,3,0
20,0,0.0,0.0,0,1,0,3,0
24,0,0.0,0.0,0,1,0,3,1
5,0,0.0,0.0,0,1,0,3,1
10,0,0.0,0.0,0,1,0,3,0
14,0,2.5,0.2,0,1,0,3,0
22,2,18.1,2.6,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
15,1,68.8,3.9,0,0,2,3,3
21,1,0.0,0.0,0,1,2,3,0
0,0,0.0,0.0,0,1,0,3,3
48,1,113.2,7.6,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
42,0,37.6,5.6,0,1,1,3,1
13,0,0.0,0.0,0,1,0,3,0
22,0,11.4,0.5,0,0,2,3,1
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
18,0,0.0,0.0,0,1,1,3,0
0,0,0.0,0.0,0,1,0,3,0
22,0,7.1,0.8,0,1,1,3,3
0,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
21,0,0.0,0.0,0,1,1,3,0
0,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
20,0,3.0,0.5,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
21,0,4.8,0.1,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
19,0,52.4,2.2,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
0,1,19.3,5.2,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
24,4,3.9,0.4,0,0,0,3,0
20,0,14.2,0.6,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
24,2,0.0,0.0,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
10,0,23.6,1.7,0,0,2,3,3
21,0,0.0,0.0,0,1,0,3,1
32,0,0.0,0.0,0,0,2,3,3
13,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
22,0,2.9,0.3,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
18,0,0.0,0.0,0,1,0,3,0
12,1,0.0,0.0,0,1,0,3,1
20,0,0.3,0.7,0,1,0,3,3
14,0,0.0,0.0,0,1,0,3,0
12,0,0.0,0.0,0,1,0,3,0
14,1,0.0,0.0,0,1,0,3,3
0,0,0.0,0.0,0,1,0,3,3
24,0,37.0,5.8,0,0,0,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
31,0,0.3,0.0,0,0,0,3,1
24,0,0.1,0.0,0,0,0,3,3
24,0,36.7,1.9,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
7,0,0.0,0.0,0,1,0,3,3
16,0,34.2,2.3,0,0,2,3,3
1,0,0.0,0.0,0,1,0,3,0
8,1,6.5,0.6,0,1,0,3,0
22,0,0.0,0.0,0,1,0,3,0
33,0,0.0,0.0,0,1,0,3,1
14,0,14.4,0.8,3,1,1,3,0
21,0,3.3,0.3,0,1,0,3,1
14,0,0.0,0.0,0,1,0,3,1
24,1,27.1,9.4,0,1,0,3,1
21,0,31.4,5.0,0,0,2,3,1
59,2,27.1,23.9,0,1,0,3,3
14,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,1
13,0,1.6,0.2,0,1,0,3,0
19,1,30.3,1.3,0,0,2,3,1
32,0,23.2,5.3,0,1,0,3,0
21,1,125.2,6.6,0,0,2,3,1
20,2,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
21,1,2.4,0.9,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
23,3,0.0,0.0,0,1,0,3,1
12,0,4.9,0.6,0,1,1,3,0
53,2,0.0,0.0,0,1,0,3,0
21,0,2.9,0.1,0,1,0,3,1
22,0,19.5,2.0,0,0,2,3,1
10,0,22.3,4.4,0,1,2,3,3
24,0,7.5,1.5,0,1,1,3,0
19,0,0.0,0.0,0,1,0,3,1
17,0,7.3,0.8,0,0,2,3,3
15,0,0.0,0.0,0,1,2,3,0
0,0,0.0,0.0,7,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
29,0,16.1,1.0,0,0,2,3,3
20,0,134.6,7.3,0,0,2,3,3
13,0,0.0,0.0,0,1,0,3,0
18,0,0.0,0.0,0,1,0,3,0
22,0,62.2,5.1,0,0,2,3,3
13,0,0.0,0.0,0,1,0,3,0
162,0,0.0,0.0,0,1,0,3,0
66,0,370.4,14.8,0,0,2,3,0
26,0,11.0,2.6,0,1,1,3,1
25,0,1.9,0.1,0,0,2,3,1
14,0,0.0,0.0,0,1,0,3,0
22,0,15.5,1.2,0,1,1,3,1
0,0,0.0,0.0,0,1,0,3,0
20,0,2.1,0.4,0,1,0,3,1
13,0,12.7,0.6,0,1,0,3,1
20,2,30.8,2.6,0,1,1,3,1
35,0,0.0,0.0,0,1,0,3,1
14,1,0.0,0.0,0,1,0,3,0
13,0,0.0,0.0,0,1,0,3,0
22,0,0.0,0.0,0,1,0,3,0
17,1,2.5,0.1,0,1,1,3,3
22,0,64.1,7.1,0,0,2,3,1
24,0,60.2,3.3,0,1,0,3,1
14,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
21,0,8.0,1.3,0,1,1,3,3
32,0,5.6,0.3,0,1,0,3,1
71,0,86.3,2.9,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
22,0,70.2,2.5,0,0,2,3,1
20,0,0.0,0.0,0,1,0,3,0
19,0,0.0,0.0,0,1,0,3,0
14,0,0.0,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,1
20,1,0.0,0.0,0,1,1,3,0
56,0,0.0,0.0,0,1,0,3,0
21,0,0.0,0.0,0,1,0,3,1
13,0,0.0,0.0,0,1,0,3,0
75,0,39.4,1.7,0,1,0,3,1
21,0,0.0,0.0,0,1,0,3,1
20,0,0.0,0.0,0,1,0,3,0
20,0,105.7,7.9,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
65,0,22.5,1.0,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
14,0,2.0,0.5,0,1,0,3,0
12,0,2.9,0.1,2,0,0,3,0
0,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,1
43,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
21,0,33.5,11.2,0,0,2,3,1
23,4,0.0,0.0,0,1,2,3,0
25,1,22.0,0.8,0,0,2,3,0
19,2,62.7,5.7,0,0,2,3,3
20,0,0.0,0.0,0,1,0,3,1
13,0,0.0,0.0,0,1,0,3,3
13,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,3
10,0,0.0,0.0,0,1,0,3,0
22,0,35.8,2.1,0,0,2,3,1
12,0,1.5,0.2,0,1,0,3,0
15,2,0.0,0.0,0,1,1,3,0
24,0,120.3,10.0,0,0,0,3,0
23,2,0.0,0.0,0,1,0,3,1
23,0,1.5,0.2,0,1,0,3,0
19,0,1.7,0.3,0,1,1,3,0
20,1,34.2,5.1,0,0,2,3,1
0,0,0.0,0.0,0,1,0,3,0
10,0,7.5,1.1,0,0,2,3,3
13,0,0.0,0.0,0,1,0,3,0
23,0,4.2,0.3,0,1,0,3,0
24,1,0.0,0.0,0,1,0,3,0
6,0,23.4,1.9,0,1,1,3,1
21,0,0.0,0.0,0,1,0,3,0
0,0,0.0,0.0,0,1,0,3,0
23,0,0.5,0.0,0,1,0,3,0
25,0,34.0,2.3,0,1,1,3,1
30,0,115.1,7.0,0,1,1,3,1
21,0,0.0,0.0,0,1,0,3,1
22,0,51.4,6.5,0,0,2,3,3
25,0,51.6,5.1,0,0,2,3,3
57,0,156.0,12.8,0,0,0,3,3
12,0,15.0,0.8,0,1,0,3,0
0,0,0.3,0.0,0,1,0,3,1
0,0,0.0,0.0,0,1,0,3,1
20,0,56.4,5.4,0,0,2,3,3
40,1,611.9,54.7,0,1,2,3,1
18,0,11.2,0.6,0,1,0,3,1
0,0,1.8,0.2,5,1,0,3,1
25,0,10.6,0.8,0,0,2,3,3
34,0,43.8,7.1,0,1,1,3,1
33,0,7.7,1.2,0,1,0,3,1
13,0,0.0,0.0,0,1,0,3,0
3,0,4.3,0.3,1,0,0,3,1
0,0,0.0,0.0,6,1,0,3,3
22,0,44.3,5.2,0,1,1,3,1
24,0,12.6,0.6,0,1,0,3,1
13,0,0.0,0.0,0,1,0,3,0
0,0,11.6,0.6,6,1,0,3,0
12,0,0.0,0.0,0,1,0,3,0
15,0,0.0,0.0,3,1,0,3,0
0,0,0.0,0.0,6,1,0,3,3
26,0,53.1,7.6,0,0,2,3,3
21,1,22.4,3.0,0,0,2,3,3
0,0,0.0,0.0,0,1,0,3,0
14,2,0.0,0.0,0,1,0,3,1
13,0,0.0,0.0,0,1,0,3,3
40,0,38.6,3.0,0,1,0,3,0
